user_id,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Fantasy,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,popularity,niche,classic,retro,modern,contemporary
6040,0.009856757,-0.003247276,0.14821854,0.08846799,0.150166,0.23521702,0.253974,0.072357714,0.0040302975,0.11313601,0.12399241,0.13870583,0.053571366,0.078393,0.19444633,0.04883579,0.46316525,-0.05514042,0.08012876,0.16947205,0.16015053,0.096963674
6039,0.098776504,0.1703677,0.23214582,0.14577797,0.21705939,0.37695426,0.12431201,0.20816267,0.06435641,0.25723448,0.21768785,0.13683373,0.12242478,0.08204652,0.3331536,0.2780323,0.2627529,0.21975781,0.52205706,0.16172406,0.018186284,0.23546205
6038,0.114868134,0.13997282,0.20744431,0.63622546,0.09625057,0.19528854,0.08419385,0.109669246,-0.0021185577,0.2754424,0.16380009,0.1985238,0.08758637,-0.06141107,0.10535485,0.08767927,0.4492541,-0.083330646,0.1444146,0.15716456,-0.0043364456,0.08749318
6037,0.2062452,0.21901444,0.15252598,0.044383623,0.08732684,0.04986822,0.08975717,0.28144664,0.23286887,0.0990435,0.10187434,0.05842965,0.7643914,0.19499671,0.17921485,0.18113998,0.3339543,0.026353715,0.15366694,0.21264915,-0.028913204,0.10016811
6036,0.22338332,0.25172183,0.2317096,0.08612169,0.10396572,0.16066657,0.044280097,0.33374247,0.3152904,0.17185181,0.28473192,0.12101822,0.53108567,0.13819757,0.24313852,0.21469167,0.2310664,0.13724676,0.15083082,0.24483162,0.006793647,0.3401594
6035,0.10087141,0.13535134,0.1388587,0.56889784,0.0779565,0.3040769,-0.038074963,0.24400464,-0.017257884,0.17103706,0.056756675,0.09872408,-0.03144735,-0.109304756,0.09790161,0.14596188,0.1868172,0.08635482,0.0047731646,-0.063168705,0.2426078,0.18594378
6034,0.035382684,0.08182463,0.2850421,0.012128322,0.39509094,0.2595807,0.12385972,0.41465795,0.15044169,0.16564979,0.35782295,0.18754487,0.18085884,0.26312065,0.10660398,0.249836,0.2929136,0.06398293,0.29684043,0.1574002,0.10649985,0.15562432
6033,0.82415545,0.24343267,0.025878575,0.028969388,0.23601669,0.01821792,0.043216884,0.10752346,0.039263867,0.043816358,0.12118917,0.09147324,0.23961237,0.17270112,0.21500239,0.16574822,0.47049895,-0.13721558,0.031433903,0.10339171,-0.06913242,0.06837374
6032,0.03559076,0.20182723,0.6824571,0.09279274,0.09628324,0.16347635,0.045946352,0.20262182,0.14715818,0.44234502,0.09141664,0.122843966,0.08695552,0.11534706,0.16440791,0.1937334,0.31246197,-0.041721344,0.34835562,0.16336665,-0.008211112,0.09518125
6031,0.13260855,0.12207431,0.17255169,0.01950102,0.07148374,0.06710224,0.10020092,0.19853707,0.014919728,0.102692544,0.09420974,0.08852102,0.29559836,0.1433043,0.13257623,0.16339865,0.7345499,-0.24378026,0.07374396,0.17813556,-0.013018843,0.07687171
6030,0.1868062,0.3801281,0.34581256,0.11956872,0.20591973,0.2765335,-0.012917578,0.9142272,0.21681243,0.18983251,0.27583787,0.1472493,0.30745134,0.012496386,0.25447482,0.21354833,0.28480497,0.060325474,0.17515534,0.23149766,0.033194393,0.23283592
6029,0.037991863,0.027941689,0.1480814,0.01819322,0.08501777,0.181855,0.09084429,0.16434309,0.04006602,0.18409115,0.11288074,0.12625279,0.12883773,0.1667378,0.11904743,0.14560428,0.18126741,0.07003367,0.16930605,0.15541293,0.068557635,0.077698626
6028,0.8255327,0.22464025,0.03067111,0.033549707,0.2527231,0.052672677,0.081534825,0.11907962,0.06904014,0.019095298,0.12326691,0.10624738,0.24352285,0.18672153,0.2247962,0.16413774,0.4544772,-0.06972989,0.04829201,0.10383662,-0.022159675,0.11133541
6026,0.08778961,0.15189172,0.2085388,0.14197499,0.22024941,0.36284107,0.20718017,0.20080826,0.12687844,0.19045106,0.20032926,0.11440113,0.16454327,0.094993845,0.3037753,0.27146268,0.41697323,0.06801146,0.36025244,0.24002807,0.041080605,0.26974666
6027,0.108632244,0.055979945,0.18690808,0.6267391,0.105343014,0.11565964,-0.005287979,0.07674767,-0.028411731,0.16457127,0.11628594,0.14593764,0.0076505896,-0.02967313,0.05906045,0.08407916,0.56449085,-0.18294314,-0.080456294,-0.21831746,0.324521,0.061183397
